entry	idx	idx_text	page
Introduction	1	Introduction	4
Using This Book	1.1	Introduction|Using This Book	4
The Core Rules	1.2	Introduction|The Core Rules	5
Ch. 1: Character Options	2	Ch. 1: Character Options	7
Barbarian	2.1	Ch. 1: Character Options|Barbarian	8
Primal Paths	2.1.1	Ch. 1: Character Options|Barbarian|Primal Paths	9
Path of the Ancestral Guardian	2.1.2	Ch. 1: Character Options|Barbarian|Path of the Ancestral Guardian	9
Path of the Storm Herald	2.1.3	Ch. 1: Character Options|Barbarian|Path of the Storm Herald	10
Path of the Zealot	2.1.4	Ch. 1: Character Options|Barbarian|Path of the Zealot	11
Bard	2.2	Ch. 1: Character Options|Bard	12
Bard Colleges	2.2.1	Ch. 1: Character Options|Bard|Bard Colleges	14
College of Glamour	2.2.2	Ch. 1: Character Options|Bard|College of Glamour	14
College of Swords	2.2.3	Ch. 1: Character Options|Bard|College of Swords	15
College of Whispers	2.2.4	Ch. 1: Character Options|Bard|College of Whispers	16
Cleric	2.3	Ch. 1: Character Options|Cleric	17
Divine Domains	2.3.1	Ch. 1: Character Options|Cleric|Divine Domains	18
Sidebar: Serving a Pantheon; Philosophy, or Force	2.3.2	Ch. 1: Character Options|Cleric|Sidebar: Serving a Pantheon; Philosophy, or Force	18
Forge Domain	2.3.3	Ch. 1: Character Options|Cleric|Forge Domain	18
Grave Domain	2.3.4	Ch. 1: Character Options|Cleric|Grave Domain	19
Druid	2.4	Ch. 1: Character Options|Druid	21
Druid Circles	2.4.1	Ch. 1: Character Options|Druid|Druid Circles	22
Circle of Dreams	2.4.2	Ch. 1: Character Options|Druid|Circle of Dreams	22
Circle of the Shepherd	2.4.3	Ch. 1: Character Options|Druid|Circle of the Shepherd	23
Learning Beast Shapes	2.4.4	Ch. 1: Character Options|Druid|Learning Beast Shapes	24
Fighter	2.5	Ch. 1: Character Options|Fighter	27
Martial Archetypes	2.5.1	Ch. 1: Character Options|Fighter|Martial Archetypes	28
Arcane Archer	2.5.2	Ch. 1: Character Options|Fighter|Arcane Archer	28
Cavalier	2.5.3	Ch. 1: Character Options|Fighter|Cavalier	30
Samurai	2.5.4	Ch. 1: Character Options|Fighter|Samurai	31
Monk	2.6	Ch. 1: Character Options|Monk	32
Monastic Traditions	2.6.1	Ch. 1: Character Options|Monk|Monastic Traditions	33
Way of the Drunken Master	2.6.2	Ch. 1: Character Options|Monk|Way of the Drunken Master	33
Way of the Kensei	2.6.3	Ch. 1: Character Options|Monk|Way of the Kensei	34
Way of the Sun Soul	2.6.4	Ch. 1: Character Options|Monk|Way of the Sun Soul	35
Paladin	2.7	Ch. 1: Character Options|Paladin	36
Sacred Oaths	2.7.1	Ch. 1: Character Options|Paladin|Sacred Oaths	37
Oath of Conquest	2.7.2	Ch. 1: Character Options|Paladin|Oath of Conquest	37
Oath of Redemption	2.7.3	Ch. 1: Character Options|Paladin|Oath of Redemption	38
Ranger	2.8	Ch. 1: Character Options|Ranger	40
Ranger Archetypes	2.8.1	Ch. 1: Character Options|Ranger|Ranger Archetypes	41
Gloom Stalker	2.8.2	Ch. 1: Character Options|Ranger|Gloom Stalker	41
Horizon Walker	2.8.3	Ch. 1: Character Options|Ranger|Horizon Walker	42
Monster Slayer	2.8.4	Ch. 1: Character Options|Ranger|Monster Slayer	43
