entry	idx	idx_text	page
Monster Lore	1	Monster Lore	5
Beholders: Bad Dreams Come True	1.1	Monster Lore|Beholders: Bad Dreams Come True	5
Giants: World Shakers	1.2	Monster Lore|Giants: World Shakers	18
Gnolls: The Insatiable Hunger	1.3	Monster Lore|Gnolls: The Insatiable Hunger	33
Goblinoids: The Conquering Host	1.4	Monster Lore|Goblinoids: The Conquering Host	40
Hags: Dark Sisterhood	1.5	Monster Lore|Hags: Dark Sisterhood	52
Kobolds: Little Dragons	1.6	Monster Lore|Kobolds: Little Dragons	63
Mind Flayers: Scourge of Worlds	1.7	Monster Lore|Mind Flayers: Scourge of Worlds	71
Orcs: The Godsworn	1.8	Monster Lore|Orcs: The Godsworn	82
Yuan-ti: Snake People	1.9	Monster Lore|Yuan-ti: Snake People	92
Character Races	3	Character Races	103
Aasimar	3.1	Character Races|Aasimar	104
Firbolg	3.2	Character Races|Firbolg	105
Goliath	3.3	Character Races|Goliath	108
Kenku	3.4	Character Races|Kenku	109
Lizardfolk	3.5	Character Races|Lizardfolk	111
Tabaxi	3.6	Character Races|Tabaxi	113
Triton	3.7	Character Races|Triton	115
Monstrous Adventurers	3.9	Character Races|Monstrous Adventurers	118
Height and Weight	3.10	Character Races|Height and Weight	120
Bestiary	4	Bestiary	121
Beholder Lair	2.1	Maps of Monster Lairs|Beholder Lair	14
Goblinoid War Camp	2.2	Maps of Monster Lairs|Goblinoid War Camp	51
Hag Lairs	2.3	Maps of Monster Lairs|Hag Lairs	60
Kobold Lair	2.4	Maps of Monster Lairs|Kobold Lair	69
Mind Flayer Colony	2.5	Maps of Monster Lairs|Mind Flayer Colony	79
Orc Stronghold	2.6	Maps of Monster Lairs|Orc Stronghold	91
Yuan-ti Temple	2.7	Maps of Monster Lairs|Yuan-ti Temple	101
Aurochs	5.1.1	Assorted Beasts|Beasts|Aurochs	207
Cow (ox, rothe, stench kow)	5.1.2	Assorted Beasts|Beasts|Cow (ox, rothe, stench kow)	207
Dolphin	5.1.3	Assorted Beasts|Beasts|Dolphin	208
Swarm of rot grubs	5.1.4	Assorted Beasts|Beasts|Swarm of rot grubs	208
Abjurer	6.1.1	Nonplayer Characters|Humanoids|Abjurer	209
Apprentice wizard	6.1.2	Nonplayer Characters|Humanoids|Apprentice wizard	209
Archdruid	6.1.3	Nonplayer Characters|Humanoids|Archdruid	210
Archer	6.1.4	Nonplayer Characters|Humanoids|Archer	210
Bard	6.1.5	Nonplayer Characters|Humanoids|Bard	211
Blackguard	6.1.6	Nonplayer Characters|Humanoids|Blackguard	211
Champion	6.1.7	Nonplayer Characters|Humanoids|Champion	212
Conjurer	6.1.8	Nonplayer Characters|Humanoids|Conjurer	212
Diviner	6.1.9	Nonplayer Characters|Humanoids|Diviner	213
Enchanter	6.1.10	Nonplayer Characters|Humanoids|Enchanter	213
Evoker	6.1.11	Nonplayer Characters|Humanoids|Evoker	214
