idx_text	page
Monster Lore	5
Monster Lore|Beholders: Bad Dreams Come True	5
Monster Lore|Giants: World Shakers	18
Monster Lore|Gnolls: The Insatiable Hunger	33
Monster Lore|Goblinoids: The Conquering Host	40
Monster Lore|Hags: Dark Sisterhood	52
Monster Lore|Kobolds: Little Dragons	63
Monster Lore|Mind Flayers: Scourge of Worlds	71
Monster Lore|Orcs: The Godsworn	82
Monster Lore|Yuan-ti: Snake People	92
Character Races	103
Character Races|Aasimar	104
Character Races|Firbolg	105
Character Races|Goliath	108
Character Races|Kenku	109
Character Races|Lizardfolk	111
Character Races|Tabaxi	113
Character Races|Triton	115
Character Races|Monstrous Adventurers	118
Character Races|Height and Weight	120
Bestiary	121
Maps of Monster Lairs|Beholder Lair	14
Maps of Monster Lairs|Goblinoid War Camp	51
Maps of Monster Lairs|Hag Lairs	60
Maps of Monster Lairs|Kobold Lair	69
Maps of Monster Lairs|Mind Flayer Colony	79
Maps of Monster Lairs|Orc Stronghold	91
Maps of Monster Lairs|Yuan-ti Temple	101
Assorted Beasts|Beasts|Aurochs	207
Assorted Beasts|Beasts|Cow (ox, rothe, stench kow)	207
Assorted Beasts|Beasts|Dolphin	208
Assorted Beasts|Beasts|Swarm of rot grubs	208
Nonplayer Characters|Humanoids|Abjurer	209
Nonplayer Characters|Humanoids|Apprentice wizard	209
Nonplayer Characters|Humanoids|Archdruid	210
Nonplayer Characters|Humanoids|Archer	210
Nonplayer Characters|Humanoids|Bard	211
Nonplayer Characters|Humanoids|Blackguard	211
Nonplayer Characters|Humanoids|Champion	212
Nonplayer Characters|Humanoids|Conjurer	212
Nonplayer Characters|Humanoids|Diviner	213
Nonplayer Characters|Humanoids|Enchanter	213
Nonplayer Characters|Humanoids|Evoker	214
Nonplayer Characters|Humanoids|Illusionist	214
Assorted Beasts	207
Nonplayer Characters	209
Monster Lists	221
Nonplayer Characters|Humanoids|Kraken priest	215
Nonplayer Characters|Humanoids|Martial arts adept	216
Nonplayer Characters|Humanoids|Master thief	216
Nonplayer Characters|Humanoids|Necromancer	217
Nonplayer Characters|Humanoids|Swashbuckler	217
Nonplayer Characters|Humanoids|War priest	218
Nonplayer Characters|Humanoids|Warlock of the archfey	219
Nonplayer Characters|Humanoids|Warlock of the fiend	219
Nonplayer Characters|Humanoids|Warlock of the Great Old One	220
Nonplayer Characters|Humanoids|Warlord	220
Character Races|Humanoids|Transmuter	118
Bestiary|Aberrations|Death kiss	124
Bestiary|Aberrations|Elder brain	174
Bestiary|Aberrations|Gauth	125
Bestiary|Aberrations|Gazer	126
Bestiary|Aberrations|Mindwitness	176
Bestiary|Aberrations|Morkoth	178
Bestiary|Aberrations|Neogi	180
Bestiary|Aberrations|Neogi hatchling	179
Bestiary|Aberrations|Neogi master	180
Bestiary|Aberrations|Neothelid	181
Bestiary|Aberrations|Ulitharid	175
Bestiary|Beasts|Brontosaurus	139
Bestiary|Beasts|Cranium rat	133
Bestiary|Beasts|Deinonychus	139
Bestiary|Beasts|Dimetrodon	139
Bestiary|Beasts|Hadrosaurus	140
Bestiary|Beasts|Quetzalcoatlus	140
Bestiary|Beasts|Stegosaurus	140
Bestiary|Beasts|Swarm of cranium rats	133
Bestiary|Beasts|Velociraptor	140
Bestiary|Celestials|Ki-rin	163
Bestiary|Dragons|Guard drake	158
Bestiary|Elementals|Flail snail	144
Bestiary|Fey|Annis hag	159
Bestiary|Fey|Bheur hag	160
Bestiary|Fey|Boggle	128
Bestiary|Fey|Darkling	134
Bestiary|Fey|Darkling elder	134
Bestiary|Fey|Korred	168
Bestiary|Fey|Meenlock	170
Bestiary|Fey|Quickling	187
Bestiary|Fey|Redcap	188
Bestiary|Fey|Yeth hound	201
